AGE,RSr
-253.08,0.70696
-252.48,0.70706
-252.52,0.70708
-252.74,0.70704
-252.79,0.70704
-252.93,0.70704
-252.85,0.70707
-252.69,0.70708
-253.04,0.70708
-252.99,0.70712
-252.68,0.70712
-252.72,0.70714
-252.36,0.70713
-252.54,0.70716
-252.57,0.70715
-252.68,0.70716
-252.7,0.70718
-252.51,0.70721
-252.72,0.70721
-252.29,0.70723
-252.23,0.70723
-252.14,0.7072
-252.56,0.70725
-252.72,0.70726
-252.55,0.70728
-252.6,0.7073
-252.31,0.70728
-252.26,0.70729
-252,0.70729
-251.84,0.7073
-252.92,0.70728
-252.9,0.7073
-253.12,0.7073
-252.26,0.70731
-252.18,0.70732
-252.34,0.70733
-252.58,0.70733
-252.83,0.70738
-252.23,0.70736
-252.33,0.7074
-252.22,0.70738
-252.06,0.70737
-251.89,0.70742
-251.99,0.70746
-252.62,0.70743
-251.56,0.70744
-251.69,0.70748
-251.77,0.70749
-252.7,0.70749
-252.66,0.70752
-251.83,0.70754
-251.52,0.70756
-251.52,0.70757
-251.11,0.7076
-251.23,0.70764
-251.09,0.70765
-250.92,0.70767
-251.62,0.70764
-251.55,0.70768
-251.95,0.70776
-251.19,0.70772
-251.3,0.70773
-251.07,0.70775
-251.15,0.70775
-251.04,0.70777
-250.5,0.70782
-250.96,0.70782
-251.55,0.70782
-251.94,0.70787
-251.24,0.70786
-250.89,0.70789
-251.82,0.70803
-250.86,0.70818
-249.38,0.70812
-249.1,0.70824
-248.32,0.70838
-248.35,0.70819
-248.42,0.70814
-248.59,0.7081
-248.76,0.70808
-248.11,0.7081
-247.78,0.70807
-247.66,0.70808
-247.78,0.70821
-247.47,0.70838
-247.43,0.70835
-247.28,0.70836
-247.14,0.70809
-246.94,0.70804
-246.86,0.70819
-246.79,0.70825
-246.59,0.70821
-246.11,0.7081
-245.71,0.70827
-247.1,0.70796
-247.14,0.70792
-245.73,0.70781
-245.71,0.70768
-245.43,0.70762
-245.41,0.70766
-245.28,0.70764
-245.17,0.70768
-245.09,0.70767
-244.98,0.70768
-243.61,0.70775
-243.5,0.70777
-243.22,0.70774
-243.14,0.70771
-242.95,0.7078
-242.35,0.70792
-242.46,0.70772
-242.14,0.70774
-241.81,0.70772
-241.8,0.70768
-241.49,0.70767
-238.7,0.70766
-237.7,0.70766
-237.08,0.70773
-243.33,0.70833
-246.49,0.70706
-249.91,0.70712
