Aged13C ,d13C
-253.0365,3.8581
-253.024,4.6388
-253.0183,3.4719
-253.0183,4.4583
-252.992,3.4299
-252.9897,4.3911
-252.9669,4.2148
-252.9657,3.2536
-252.96,4.1476
-252.9509,3.3963
-252.9486,3.157
-252.9475,4.5547
-252.9361,3.7152
-252.9326,3.199
-252.9315,4.1643
-252.9304,3.4298
-252.9292,2.8128
-252.9281,3.2913
-252.9269,3.6859
-252.9269,3.9755
-252.9201,3.1066
-252.9178,3.3501
-252.9144,3.2745
-252.9144,3.5893
-252.9064,3.3207
-252.9064,3.5389
-252.8984,3.6606
-252.8938,3.2199
-252.8915,3.5431
-252.8813,3.5851
-252.8813,3.8579
-252.8778,3.7361
-252.8767,3.8789
-252.8721,3.1191
-252.871,3.0184
-252.8698,3.3164
-252.863,3.9838
-252.8607,3.8788
-252.8596,3.8536
-252.855,2.8253
-252.855,3.0184
-252.8539,3.1023
-252.8482,2.8001
-252.8436,3.1695
-252.8436,3.3919
-252.8402,2.4182
-252.8356,2.6322
-252.8356,3.3919
-252.8345,2.9386
-252.831,2.6406
-252.8265,3.0057
-252.8253,2.1285
-252.8173,2.351
-252.8162,2.2083
-252.8105,2.565
-252.8093,3.1107
-252.8048,2.1159
-252.8002,1.9144
-252.8002,2.3048
-252.7945,2.6867
-252.7899,2.3215
-252.7888,2.5104
-252.7865,1.8011
-252.7865,2.1159
-252.7705,1.8472
-252.766,2.0025
-252.7648,1.7633
-252.7625,0.4537
-252.7602,1.1085
-252.7557,0.4453
-252.7557,2.4432
-252.7534,1.4778
-252.7523,2.0697
-252.75,1.8976
-252.7397,1.7464
-252.7306,1.6541
-252.7306,1.8975
-252.7294,1.3141
-252.7283,1.4316
-252.726,1.4484
-252.7249,-0.113
-252.7237,-0.4362
-252.7237,-0.3648
-252.7237,1.9143
-252.7226,1.6751
-252.7226,-0.6712
-252.7226,-0.6166
-252.7214,-0.9021
-252.7214,-0.8349
-252.7214,-0.306
-252.7214,-0.0416
-252.7214,0.9657
-252.7134,2.4809
-252.7134,0.0171
-252.7134,0.2396
-252.7134,0.3823
-252.7134,0.3991
-252.7134,0.5124
-252.7134,0.6341
-252.7134,0.7097
-252.7123,1.0622
-252.7123,2.334
-252.7123,0.8986
-252.7112,0.8356
-252.7112,1.2343
-252.7112,1.6289
-252.71,1.3938
-252.7032,0.9153
-252.702,0.802
-252.702,1.2931
-252.7009,1.1965
-252.6929,1.1965
-252.6872,-0.3397
-252.686,0.3948
-252.6849,0.8439
-252.6838,1.2217
-252.6803,1.5071
-252.678,0.0465
-252.678,-0.5118
-252.6769,-0.0417
-252.6678,0.9279
-252.6678,0.6886
-252.6666,0.7264
-252.6666,0.122
-252.6666,-0.6335
-252.6529,0.8901
-252.6484,0.9908
-252.6438,0.8187
-252.6404,0.6928
-252.6381,-0.7385
-252.6312,0.5627
-252.629,0.8942
-252.6244,0.8061
-252.6221,-0.2768
-252.621,0.336
-252.6198,-2.3838
-252.6187,-2.5182
-252.6175,-0.9862
-252.6141,-0.4321
-252.6141,-0.3902
-252.6073,-0.5371
-252.605,-3.79
-252.605,-0.0208
-252.5981,-0.6126
-252.5936,-2.0733
